t,dir,ang_pct,steer,pwm_ms,fps,source_file
1767060897.97,STRAIGHT,0,0.0,1.5,0.0,uart_speed1.csv
1767060898.12,RIGHT,11,0.112,1.556,0.0,uart_speed1.csv
1767060898.24,RIGHT,17,0.176,1.588,0.0,uart_speed1.csv
1767060898.34,RIGHT,15,0.152,1.576,0.0,uart_speed1.csv
1767060898.48,RIGHT,15,0.156,1.578,0.0,uart_speed1.csv
1767060898.62,RIGHT,13,0.136,1.568,0.0,uart_speed1.csv
1767060898.77,RIGHT,8,0.082,1.541,14.92,uart_speed1.csv
1767060898.91,RIGHT,9,0.099,1.549,14.92,uart_speed1.csv
1767060899.04,RIGHT,8,0.087,1.544,14.92,uart_speed1.csv
1767060899.17,STRAIGHT,0,0.0,1.5,14.92,uart_speed1.csv
1767060899.31,STRAIGHT,0,0.0,1.5,14.92,uart_speed1.csv
1767060899.41,STRAIGHT,0,0.0,1.5,14.92,uart_speed1.csv
1767060899.51,STRAIGHT,0,0.0,1.5,14.92,uart_speed1.csv
1767060899.65,STRAIGHT,0,0.0,1.5,14.92,uart_speed1.csv
1767060899.75,STRAIGHT,0,0.0,1.5,14.92,uart_speed1.csv
1767060899.89,STRAIGHT,0,0.0,1.5,21.39,uart_speed1.csv
1767060900.02,STRAIGHT,0,0.0,1.5,21.39,uart_speed1.csv
1767060900.16,STRAIGHT,0,0.0,1.5,21.39,uart_speed1.csv
1767060900.29,STRAIGHT,0,0.0,1.5,21.39,uart_speed1.csv
1767060900.42,STRAIGHT,0,0.0,1.5,21.39,uart_speed1.csv
1767060900.56,STRAIGHT,0,0.0,1.5,21.39,uart_speed1.csv
1767060900.7,STRAIGHT,0,0.0,1.5,21.39,uart_speed1.csv
1767060900.84,RIGHT,13,0.139,1.57,22.11,uart_speed1.csv
1767060900.98,RIGHT,20,0.205,1.602,22.11,uart_speed1.csv
1767060901.12,RIGHT,23,0.24,1.62,22.11,uart_speed1.csv
1767060901.26,RIGHT,35,0.35,1.675,22.11,uart_speed1.csv
1767060901.4,RIGHT,41,0.419,1.71,22.11,uart_speed1.csv
1767060901.53,RIGHT,33,0.338,1.669,22.11,uart_speed1.csv
1767060901.68,RIGHT,27,0.279,1.639,22.11,uart_speed1.csv
1767060901.81,RIGHT,16,0.17,1.585,22.11,uart_speed1.csv
1767060901.96,RIGHT,14,0.141,1.57,21.47,uart_speed1.csv
1767060902.09,RIGHT,16,0.161,1.581,21.47,uart_speed1.csv
1767060902.23,RIGHT,27,0.276,1.638,21.47,uart_speed1.csv
1767060902.38,RIGHT,40,0.404,1.702,21.47,uart_speed1.csv
1767060902.52,RIGHT,58,0.581,1.79,21.47,uart_speed1.csv
1767060902.65,RIGHT,69,0.694,1.847,21.47,uart_speed1.csv
1767060902.8,RIGHT,75,0.754,1.877,21.47,uart_speed1.csv
1767060902.94,RIGHT,80,0.804,1.902,21.27,uart_speed1.csv
1767060903.08,RIGHT,85,0.85,1.925,21.27,uart_speed1.csv
1767060903.22,RIGHT,76,0.767,1.883,21.27,uart_speed1.csv
1767060903.35,RIGHT,77,0.772,1.886,21.27,uart_speed1.csv
1767060903.5,RIGHT,88,0.883,1.942,21.27,uart_speed1.csv
