# Plain UART-style lines
# speed=1.0
T,DIR,ANG_PCT,STEER,PWM_MS,FPS
1767380532.17,STRAIGHT,0,+0.000,1.500,0.00
1767380534.28,STRAIGHT,0,+0.000,1.500,0.88
1767380534.38,RIGHT,9,+0.094,1.547,0.88
1767380534.53,RIGHT,11,+0.112,1.556,0.88
1767380534.68,RIGHT,11,+0.116,1.558,0.88
1767380534.82,RIGHT,12,+0.127,1.563,0.88
1767380534.95,RIGHT,11,+0.110,1.555,0.88
1767380535.08,RIGHT,10,+0.104,1.552,0.88
1767380535.22,RIGHT,10,+0.101,1.551,0.88
1767380535.34,RIGHT,9,+0.100,1.550,21.57
1767380535.47,RIGHT,9,+0.097,1.548,21.57
1767380535.61,STRAIGHT,0,+0.000,1.500,21.57
1767380535.75,STRAIGHT,0,+0.000,1.500,21.57
1767380535.88,STRAIGHT,0,+0.000,1.500,21.57
1767380536.02,STRAIGHT,0,+0.000,1.500,21.57
1767380536.15,STRAIGHT,0,+0.000,1.500,21.57
1767380536.29,STRAIGHT,0,+0.000,1.500,21.57
1767380536.41,STRAIGHT,0,+0.000,1.500,22.33
1767380536.55,STRAIGHT,0,+0.000,1.500,22.33
1767380536.68,STRAIGHT,0,+0.000,1.500,22.33
1767380536.81,STRAIGHT,0,+0.000,1.500,22.33
1767380536.96,STRAIGHT,0,+0.000,1.500,22.33
1767380537.09,STRAIGHT,0,+0.000,1.500,22.33
1767380537.22,STRAIGHT,0,+0.000,1.500,22.33
1767380537.36,RIGHT,8,+0.087,1.543,22.36
1767380537.49,RIGHT,15,+0.153,1.576,22.36
1767380537.62,RIGHT,22,+0.224,1.612,22.36
1767380537.74,RIGHT,21,+0.210,1.605,22.36
1767380537.88,RIGHT,28,+0.288,1.644,22.36
1767380538.01,RIGHT,26,+0.266,1.633,22.36
1767380538.14,RIGHT,15,+0.155,1.577,22.36
1767380538.27,RIGHT,14,+0.149,1.575,22.36
1767380538.41,RIGHT,11,+0.119,1.559,22.94
1767380538.53,STRAIGHT,0,+0.000,1.500,22.94
1767380538.67,STRAIGHT,0,+0.000,1.500,22.94
1767380538.80,STRAIGHT,0,+0.000,1.500,22.94
1767380538.93,RIGHT,8,+0.083,1.541,22.94
1767380539.06,RIGHT,16,+0.162,1.581,22.94
1767380539.19,RIGHT,28,+0.289,1.645,22.94
1767380539.33,RIGHT,43,+0.440,1.720,22.94
1767380539.46,RIGHT,56,+0.565,1.783,22.59
1767380539.59,RIGHT,69,+0.698,1.849,22.59
1767380539.73,RIGHT,71,+0.716,1.858,22.59
1767380539.86,RIGHT,78,+0.785,1.892,22.59
1767380540.00,RIGHT,86,+0.866,1.933,22.59
1767380540.13,RIGHT,81,+0.810,1.905,22.59
1767380540.26,RIGHT,82,+0.825,1.912,22.59
1767380540.40,RIGHT,91,+0.910,1.955,22.56
1767380540.53,RIGHT,92,+0.928,1.964,22.56
1767380540.67,RIGHT,90,+0.909,1.955,22.56
1767380540.80,RIGHT,95,+0.954,1.977,22.56
1767380540.92,RIGHT,90,+0.902,1.951,22.56
1767380541.05,RIGHT,93,+0.939,1.970,22.56
1767380541.19,RIGHT,93,+0.935,1.968,22.56
1767380541.33,RIGHT,88,+0.887,1.944,22.56
1767380541.45,RIGHT,91,+0.917,1.959,22.66
1767380541.59,RIGHT,93,+0.934,1.967,22.66
1767380541.71,RIGHT,93,+0.936,1.968,22.66
1767380541.84,RIGHT,82,+0.824,1.912,22.66
1767380541.97,RIGHT,61,+0.618,1.809,22.66
1767380542.10,RIGHT,49,+0.496,1.748,22.66
1767380542.23,RIGHT,49,+0.497,1.749,22.66
