# Plain UART-style lines
# speed=1.5
T,DIR,ANG_PCT,STEER,PWM_MS,FPS
1767060760.36,STRAIGHT,0,+0.000,1.500,0.00
1767060760.48,RIGHT,17,+0.176,1.588,0.00
1767060760.59,RIGHT,15,+0.157,1.579,0.00
1767060760.71,RIGHT,16,+0.168,1.584,0.00
1767060760.83,RIGHT,10,+0.108,1.554,0.00
1767060760.95,RIGHT,9,+0.090,1.545,0.00
1767060761.06,RIGHT,9,+0.097,1.548,0.00
1767060761.18,STRAIGHT,0,+0.000,1.500,21.58
1767060761.30,STRAIGHT,0,+0.000,1.500,21.58
1767060761.42,STRAIGHT,0,+0.000,1.500,21.58
1767060761.53,STRAIGHT,0,+0.000,1.500,21.58
1767060761.64,STRAIGHT,0,+0.000,1.500,21.58
1767060761.75,STRAIGHT,0,+0.000,1.500,21.58
1767060761.88,STRAIGHT,0,+0.000,1.500,21.58
1767060761.99,STRAIGHT,0,+0.000,1.500,21.58
1767060762.11,STRAIGHT,0,+0.000,1.500,21.58
1767060762.22,STRAIGHT,0,+0.000,1.500,25.83
1767060762.34,STRAIGHT,0,+0.000,1.500,25.83
1767060762.45,STRAIGHT,0,+0.000,1.500,25.83
1767060762.56,STRAIGHT,0,+0.000,1.500,25.83
1767060762.68,RIGHT,14,+0.145,1.572,25.83
1767060762.80,RIGHT,23,+0.233,1.617,25.83
1767060762.92,RIGHT,27,+0.279,1.640,25.83
1767060763.05,RIGHT,37,+0.371,1.685,25.83
1767060763.16,RIGHT,34,+0.346,1.673,25.83
1767060763.27,RIGHT,34,+0.345,1.673,25.81
1767060763.40,RIGHT,21,+0.219,1.610,25.81
1767060763.51,RIGHT,15,+0.153,1.576,25.81
1767060763.64,RIGHT,16,+0.163,1.582,25.81
1767060763.75,RIGHT,18,+0.186,1.593,25.81
1767060763.87,RIGHT,29,+0.292,1.646,25.81
1767060763.99,RIGHT,45,+0.454,1.727,25.81
1767060764.09,RIGHT,63,+0.632,1.816,25.81
1767060764.21,RIGHT,73,+0.740,1.870,25.57
1767060764.33,RIGHT,74,+0.745,1.872,25.57
1767060764.45,RIGHT,82,+0.825,1.912,25.57
1767060764.57,RIGHT,86,+0.866,1.933,25.57
1767060764.68,RIGHT,73,+0.737,1.868,25.57
1767060764.80,RIGHT,81,+0.818,1.909,25.57
1767060764.92,RIGHT,83,+0.838,1.919,25.57
1767060765.04,RIGHT,82,+0.823,1.911,25.57
1767060765.16,RIGHT,90,+0.909,1.955,25.57
1767060765.29,RIGHT,91,+0.913,1.957,25.15
1767060765.40,RIGHT,95,+0.956,1.978,25.15
1767060765.52,RIGHT,97,+0.971,1.986,25.15
1767060765.64,RIGHT,98,+0.984,1.992,25.15
1767060765.77,RIGHT,99,+0.992,1.996,25.15
1767060765.88,RIGHT,99,+0.996,1.998,25.15
1767060766.00,RIGHT,89,+0.890,1.945,25.15
1767060766.12,RIGHT,85,+0.857,1.928,25.15
1767060766.24,RIGHT,69,+0.698,1.849,25.15
1767060766.36,RIGHT,55,+0.559,1.780,25.08
1767060766.48,RIGHT,39,+0.398,1.699,25.08
1767060766.60,RIGHT,32,+0.322,1.661,25.08
1767060766.71,RIGHT,30,+0.306,1.653,25.08
1767060766.83,RIGHT,30,+0.304,1.652,25.08
1767060766.96,RIGHT,26,+0.262,1.631,25.08
1767060767.07,RIGHT,34,+0.341,1.670,25.08
1767060767.18,RIGHT,43,+0.433,1.717,25.08
1767060767.30,RIGHT,54,+0.542,1.771,25.65
1767060767.42,RIGHT,75,+0.750,1.875,25.65
1767060767.53,RIGHT,76,+0.770,1.885,25.65
1767060767.65,RIGHT,62,+0.625,1.812,25.65
1767060767.79,RIGHT,65,+0.655,1.827,25.65
1767060767.90,RIGHT,58,+0.588,1.794,25.65
1767060768.02,RIGHT,57,+0.574,1.787,25.65
1767060768.13,RIGHT,73,+0.737,1.869,25.65
1767060768.25,RIGHT,83,+0.831,1.916,25.65
1767060768.37,RIGHT,81,+0.818,1.909,25.05
1767060768.48,RIGHT,77,+0.772,1.886,25.05
1767060768.59,RIGHT,75,+0.750,1.875,25.05
1767060768.72,RIGHT,74,+0.746,1.873,25.05
1767060768.83,RIGHT,68,+0.687,1.843,25.05
1767060768.95,RIGHT,57,+0.579,1.789,25.05
1767060769.07,RIGHT,61,+0.616,1.808,25.05
1767060769.18,RIGHT,60,+0.608,1.804,25.05
1767060769.30,RIGHT,54,+0.545,1.772,25.05
1767060769.41,RIGHT,37,+0.378,1.689,25.88
1767060769.53,RIGHT,13,+0.134,1.567,25.88
1767060769.65,STRAIGHT,0,+0.000,1.500,25.88
1767060769.77,LEFT,13,-0.139,1.430,25.88
1767060769.88,LEFT,39,-0.400,1.300,25.88
1767060769.99,LEFT,35,-0.357,1.321,25.88
1767060770.11,LEFT,39,-0.392,1.304,25.88
1767060770.23,LEFT,48,-0.481,1.260,25.88
1767060770.35,LEFT,34,-0.349,1.326,25.65
1767060770.47,LEFT,42,-0.424,1.288,25.65
1767060770.58,LEFT,62,-0.626,1.187,25.65
1767060770.70,LEFT,58,-0.584,1.208,25.65
1767060770.82,LEFT,27,-0.280,1.360,25.65
1767060770.94,LEFT,19,-0.191,1.404,25.65
1767060771.05,LEFT,16,-0.163,1.419,25.65
1767060771.17,LEFT,17,-0.174,1.413,25.65
1767060771.29,LEFT,22,-0.228,1.386,25.65
1767060771.41,LEFT,33,-0.332,1.334,25.60
1767060771.53,LEFT,57,-0.573,1.214,25.60
1767060771.64,LEFT,78,-0.781,1.109,25.60
1767060771.76,LEFT,88,-0.888,1.056,25.60
1767060771.86,LEFT,91,-0.915,1.043,25.60
1767060771.98,LEFT,94,-0.945,1.028,25.60
1767060772.09,LEFT,88,-0.890,1.055,25.60
1767060772.20,LEFT,87,-0.872,1.064,25.60
1767060772.32,LEFT,76,-0.770,1.115,25.60
1767060772.44,LEFT,74,-0.743,1.128,26.22
1767060772.56,LEFT,82,-0.822,1.089,26.22
1767060772.68,LEFT,81,-0.812,1.094,26.22
1767060772.80,LEFT,64,-0.647,1.177,26.22
1767060772.91,LEFT,57,-0.571,1.214,26.22
1767060773.03,LEFT,40,-0.401,1.299,26.22
1767060773.14,LEFT,8,-0.089,1.455,26.22
1767060773.26,RIGHT,36,+0.367,1.684,26.22
1767060773.37,RIGHT,66,+0.667,1.834,26.22
1767060773.48,RIGHT,82,+0.830,1.915,25.70
1767060773.60,RIGHT,91,+0.913,1.956,25.70
1767060773.71,RIGHT,95,+0.952,1.976,25.70
1767060773.82,RIGHT,96,+0.964,1.982,25.70
1767060773.94,RIGHT,98,+0.982,1.991,25.70
1767060774.05,RIGHT,99,+0.991,1.995,25.70
1767060774.17,RIGHT,99,+0.995,1.998,25.70
1767060774.28,RIGHT,98,+0.982,1.991,25.70
1767060774.40,RIGHT,92,+0.922,1.961,25.70
1767060774.53,RIGHT,84,+0.843,1.922,26.21
1767060774.64,RIGHT,73,+0.737,1.869,26.21
1767060774.76,RIGHT,66,+0.670,1.835,26.21
1767060774.88,RIGHT,61,+0.612,1.806,26.21
1767060775.01,RIGHT,50,+0.504,1.752,26.21
