# Plain UART-style lines
# speed=2.0
T,DIR,ANG_PCT,STEER,PWM_MS,FPS
1767060834.21,STRAIGHT,0,+0.000,1.500,0.00
1767060834.35,RIGHT,12,+0.129,1.565,0.00
1767060834.48,RIGHT,10,+0.104,1.552,0.00
1767060834.60,RIGHT,9,+0.091,1.545,0.00
1767060834.71,STRAIGHT,0,+0.000,1.500,0.00
1767060834.82,STRAIGHT,0,+0.000,1.500,0.00
1767060834.93,STRAIGHT,0,+0.000,1.500,0.00
1767060835.06,STRAIGHT,0,+0.000,1.500,20.76
1767060835.18,STRAIGHT,0,+0.000,1.500,20.76
1767060835.29,STRAIGHT,0,+0.000,1.500,20.76
1767060835.41,RIGHT,9,+0.093,1.547,20.76
1767060835.52,RIGHT,20,+0.205,1.603,20.76
1767060835.64,RIGHT,27,+0.272,1.636,20.76
1767060835.75,RIGHT,24,+0.250,1.625,20.76
1767060835.87,RIGHT,19,+0.196,1.598,20.76
1767060835.99,RIGHT,27,+0.272,1.636,20.76
1767060836.11,RIGHT,49,+0.494,1.747,25.74
1767060836.22,RIGHT,62,+0.629,1.814,25.74
1767060836.34,RIGHT,74,+0.746,1.873,25.74
1767060836.46,RIGHT,77,+0.771,1.886,25.74
1767060836.58,RIGHT,82,+0.829,1.914,25.74
1767060836.69,RIGHT,91,+0.912,1.956,25.74
1767060836.81,RIGHT,95,+0.955,1.978,25.74
1767060836.92,RIGHT,97,+0.977,1.989,25.74
1767060837.03,RIGHT,92,+0.923,1.962,25.96
1767060837.15,RIGHT,80,+0.806,1.903,25.96
1767060837.26,RIGHT,55,+0.558,1.779,25.96
1767060837.38,RIGHT,41,+0.419,1.709,25.96
1767060837.50,RIGHT,33,+0.330,1.665,25.96
1767060837.61,RIGHT,42,+0.426,1.713,25.96
1767060837.72,RIGHT,64,+0.645,1.822,25.96
1767060837.84,RIGHT,61,+0.615,1.807,25.96
1767060837.95,RIGHT,56,+0.566,1.783,25.96
1767060838.07,RIGHT,66,+0.660,1.830,25.98
1767060838.19,RIGHT,76,+0.763,1.882,25.98
1767060838.31,RIGHT,74,+0.743,1.872,25.98
1767060838.43,RIGHT,71,+0.716,1.858,25.98
1767060838.54,RIGHT,66,+0.667,1.834,25.98
1767060838.67,RIGHT,58,+0.588,1.794,25.98
1767060838.79,RIGHT,28,+0.282,1.641,25.98
1767060838.91,STRAIGHT,0,+0.000,1.500,25.98
1767060839.02,LEFT,21,-0.214,1.393,25.98
1767060839.14,LEFT,39,-0.391,1.304,25.31
1767060839.25,LEFT,35,-0.353,1.324,25.31
1767060839.37,LEFT,48,-0.488,1.256,25.31
1767060839.48,LEFT,27,-0.270,1.365,25.31
1767060839.60,LEFT,23,-0.232,1.384,25.31
1767060839.72,LEFT,34,-0.341,1.329,25.31
1767060839.83,LEFT,62,-0.629,1.185,25.31
1767060839.95,LEFT,78,-0.783,1.109,25.31
1767060840.07,LEFT,84,-0.847,1.077,25.31
1767060840.19,LEFT,80,-0.808,1.096,25.88
1767060840.31,LEFT,82,-0.822,1.089,25.88
1767060840.43,LEFT,70,-0.703,1.149,25.88
1767060840.55,LEFT,50,-0.504,1.248,25.88
1767060840.68,STRAIGHT,0,+0.000,1.500,25.88
1767060840.79,RIGHT,51,+0.514,1.757,25.88
1767060840.91,RIGHT,75,+0.751,1.876,25.88
1767060841.02,RIGHT,87,+0.871,1.935,25.88
1767060841.14,RIGHT,93,+0.934,1.967,25.12
1767060841.27,RIGHT,91,+0.918,1.959,25.12
1767060841.38,RIGHT,79,+0.794,1.897,25.12
1767060841.49,RIGHT,67,+0.675,1.838,25.12
1767060841.63,RIGHT,50,+0.508,1.754,25.12
1767060841.75,RIGHT,42,+0.426,1.713,25.12
1767060841.87,RIGHT,34,+0.349,1.674,25.12
1767060841.99,RIGHT,28,+0.283,1.642,25.12
1767060842.10,RIGHT,27,+0.273,1.637,25.12
1767060842.22,RIGHT,26,+0.268,1.634,24.96
1767060842.33,RIGHT,26,+0.264,1.632,24.96
1767060842.45,RIGHT,34,+0.345,1.673,24.96
1767060842.56,RIGHT,42,+0.427,1.713,24.96
1767060842.68,RIGHT,55,+0.550,1.775,24.96
1767060842.80,RIGHT,75,+0.752,1.876,24.96
1767060842.92,RIGHT,83,+0.832,1.916,24.96
1767060843.03,RIGHT,84,+0.841,1.921,24.96
1767060843.15,RIGHT,69,+0.697,1.848,25.71
1767060843.27,RIGHT,47,+0.477,1.739,25.71
1767060843.39,RIGHT,33,+0.333,1.666,25.71
1767060843.52,RIGHT,22,+0.224,1.612,25.71
1767060843.62,RIGHT,8,+0.081,1.541,25.71
1767060843.74,STRAIGHT,0,+0.000,1.500,25.71
1767060843.86,STRAIGHT,0,+0.000,1.500,25.71
1767060843.98,STRAIGHT,0,+0.000,1.500,25.71
1767060844.10,RIGHT,13,+0.131,1.565,25.71
1767060844.23,RIGHT,13,+0.134,1.567,25.06
1767060844.34,RIGHT,16,+0.161,1.581,25.06
1767060844.46,RIGHT,19,+0.198,1.599,25.06
1767060844.58,RIGHT,17,+0.172,1.586,25.06
1767060844.71,RIGHT,24,+0.243,1.621,25.06
1767060844.83,RIGHT,31,+0.312,1.656,25.06
1767060844.95,RIGHT,33,+0.336,1.668,25.06
1767060845.06,RIGHT,36,+0.362,1.681,25.06
1767060845.18,RIGHT,41,+0.412,1.706,25.06
1767060845.30,RIGHT,52,+0.524,1.762,25.19
1767060845.41,RIGHT,72,+0.728,1.864,25.19
1767060845.53,RIGHT,82,+0.827,1.914,25.19
1767060845.64,RIGHT,83,+0.835,1.918,25.19
1767060845.76,RIGHT,84,+0.849,1.925,25.19
1767060845.88,RIGHT,85,+0.851,1.926,25.19
1767060846.00,RIGHT,78,+0.787,1.893,25.19
1767060846.12,RIGHT,65,+0.660,1.830,25.19
1767060846.24,RIGHT,57,+0.571,1.786,25.41
1767060846.36,RIGHT,49,+0.494,1.747,25.41
1767060846.48,RIGHT,40,+0.405,1.702,25.41
1767060846.60,RIGHT,32,+0.330,1.665,25.41
1767060846.71,RIGHT,22,+0.229,1.614,25.41
1767060846.83,RIGHT,17,+0.174,1.587,25.41
1767060846.96,STRAIGHT,0,+0.000,1.500,25.41
1767060847.07,STRAIGHT,0,+0.000,1.500,25.41
1767060847.19,STRAIGHT,0,+0.000,1.500,25.41
1767060847.31,STRAIGHT,0,+0.000,1.500,25.22
1767060847.43,RIGHT,15,+0.159,1.579,25.22
1767060847.55,RIGHT,22,+0.221,1.611,25.22
1767060847.65,RIGHT,22,+0.230,1.615,25.22
1767060847.77,RIGHT,24,+0.242,1.621,25.22
1767060847.88,RIGHT,22,+0.222,1.611,25.22
1767060848.00,RIGHT,26,+0.265,1.633,25.22
1767060848.12,RIGHT,42,+0.422,1.711,25.22
1767060848.23,RIGHT,62,+0.623,1.812,25.22
